Date,Product_ID,Product_Category,Brand,Average_Damage_Rate,Refund_Rate,Avg_Time_Between_Stockouts,Avg_Quantity_Per_Order,Current_Inventory_Quantity,Maximum_Quantity_in_Stock,Current_Inventory_Levels,Storage_Time,Quantity_Released
4/4/2022,101,Electronics,BrandC,0.014,0.04,35,12,826,1200,Medium,4,17
4/5/2022,101,Electronics,BrandC,0.014,0.04,35,12,809,1200,Medium,5,10
4/6/2022,101,Electronics,BrandC,0.014,0.04,35,12,799,1200,Medium,6,27
4/7/2022,101,Electronics,BrandC,0.014,0.04,35,12,772,1200,Medium,7,26
4/8/2022,101,Electronics,BrandC,0.014,0.04,35,12,746,1200,Medium,8,19
4/9/2022,101,Electronics,BrandC,0.014,0.04,35,12,727,1200,Medium,9,18
4/10/2022,101,Electronics,BrandC,0.014,0.04,35,12,709,1200,Medium,10,20
4/11/2022,101,Electronics,BrandC,0.014,0.04,35,12,689,1200,Medium,11,24
4/12/2022,101,Electronics,BrandC,0.014,0.04,30,15,665,1200,Medium,12,19
4/13/2022,101,Electronics,BrandC,0.014,0.04,30,15,646,1200,Medium,13,28
4/14/2022,101,Electronics,BrandC,0.014,0.04,30,15,618,1200,Medium,14,42
4/15/2022,101,Electronics,BrandC,0.014,0.04,30,15,576,1200,Medium,15,33
4/16/2022,101,Electronics,BrandC,0.014,0.04,30,15,543,1200,Medium,16,42
4/17/2022,101,Electronics,BrandC,0.014,0.04,30,15,501,1200,Medium,17,28
4/18/2022,101,Electronics,BrandC,0.014,0.04,30,15,473,1200,Medium,18,43
4/19/2022,101,Electronics,BrandC,0.014,0.04,30,15,430,1200,Medium,19,40
4/20/2022,101,Electronics,BrandC,0.014,0.04,30,15,390,1200,Medium,20,25
4/21/2022,101,Electronics,BrandC,0.014,0.04,30,15,365,1200,Medium,21,36
4/22/2022,101,Electronics,BrandC,0.014,0.04,30,15,329,1200,Low,22,40
4/23/2022,101,Electronics,BrandC,0.014,0.04,30,15,289,1200,Low,23,45
4/24/2022,101,Electronics,BrandC,0.014,0.04,30,15,244,1200,Low,24,36
4/25/2022,101,Electronics,BrandC,0.014,0.04,30,15,208,1200,Low,25,39
4/26/2022,101,Electronics,BrandC,0.014,0.04,30,15,169,1200,Low,26,29
4/27/2022,101,Electronics,BrandC,0.014,0.04,30,15,140,1200,Low,27,40
4/28/2022,101,Electronics,BrandC,0.014,0.04,30,15,100,1200,Low,28,32
4/29/2022,101,Electronics,BrandC,0.014,0.04,30,15,68,1200,Low,29,41
4/30/2022,101,Electronics,BrandC,0.014,0.04,30,15,27,1200,Low,30,32
5/1/2022,101,Electronics,BrandC,0.015,0.05,16,22,1327,1800,High,1,32
5/2/2022,101,Electronics,BrandC,0.015,0.05,16,22,1295,1800,High,2,39
5/3/2022,101,Electronics,BrandC,0.015,0.05,16,22,1256,1800,Medium,3,75
5/4/2022,101,Electronics,BrandC,0.015,0.05,16,22,1181,1800,Medium,4,108
5/5/2022,101,Electronics,BrandC,0.015,0.05,16,22,1073,1800,Medium,5,92
5/6/2022,101,Electronics,BrandC,0.015,0.05,16,22,981,1800,Medium,6,82
5/7/2022,101,Electronics,BrandC,0.015,0.05,16,22,899,1800,Medium,7,118
5/8/2022,101,Electronics,BrandC,0.015,0.05,16,22,781,1800,Medium,8,107
5/9/2022,101,Electronics,BrandC,0.015,0.05,16,22,674,1800,Medium,9,93
5/10/2022,101,Electronics,BrandC,0.015,0.05,16,22,581,1800,Medium,10,94
5/11/2022,101,Electronics,BrandC,0.015,0.05,16,22,487,1800,Low,11,120
5/12/2022,101,Electronics,BrandC,0.015,0.05,16,22,367,1800,Low,12,88
5/13/2022,101,Electronics,BrandC,0.015,0.05,16,22,279,1800,Low,13,86
5/14/2022,101,Electronics,BrandC,0.015,0.05,16,22,193,1800,Low,14,104
5/15/2022,101,Electronics,BrandC,0.015,0.05,16,22,89,1800,Low,15,105
5/16/2022,101,Electronics,BrandC,0.015,0.05,15,25,1389,1800,High,1,94
5/17/2022,101,Electronics,BrandC,0.015,0.05,15,25,1295,1800,High,2,92
5/18/2022,101,Electronics,BrandC,0.015,0.05,15,25,1203,1800,Medium,3,82
5/19/2022,101,Electronics,BrandC,0.015,0.05,15,25,1121,1800,Medium,4,108
5/20/2022,101,Electronics,BrandC,0.015,0.05,15,25,1013,1800,Medium,5,89
5/21/2022,101,Electronics,BrandC,0.015,0.05,15,25,924,1800,Medium,6,103
5/22/2022,101,Electronics,BrandC,0.015,0.05,15,25,821,1800,Medium,7,99
5/23/2022,101,Electronics,BrandC,0.015,0.05,15,25,722,1800,Medium,8,82
5/24/2022,101,Electronics,BrandC,0.015,0.05,15,25,640,1800,Medium,9,115
5/25/2022,101,Electronics,BrandC,0.015,0.05,15,25,525,1800,Low,10,112
5/26/2022,101,Electronics,BrandC,0.015,0.05,15,25,413,1800,Low,11,116
5/27/2022,101,Electronics,BrandC,0.015,0.05,15,25,297,1800,Low,12,112
5/28/2022,101,Electronics,BrandC,0.015,0.05,15,25,185,1800,Low,13,110
5/29/2022,101,Electronics,BrandC,0.015,0.05,13,27,1485,1800,High,1,108
5/30/2022,101,Electronics,BrandC,0.015,0.05,13,27,1377,1800,High,2,86
5/31/2022,101,Electronics,BrandC,0.015,0.05,13,27,1291,1800,High,3,81
6/1/2022,101,Electronics,BrandC,0.015,0.05,13,27,1210,1800,Medium,4,97
6/2/2022,101,Electronics,BrandC,0.015,0.05,13,27,1113,1800,Medium,5,91
6/3/2022,101,Electronics,BrandC,0.015,0.05,13,27,1022,1800,Medium,6,95
6/4/2022,101,Electronics,BrandC,0.015,0.05,13,27,927,1800,Medium,7,108
6/5/2022,101,Electronics,BrandC,0.015,0.05,13,27,819,1800,Medium,8,105
6/6/2022,101,Electronics,BrandC,0.015,0.05,13,27,714,1800,Medium,9,112
6/7/2022,101,Electronics,BrandC,0.015,0.05,13,27,602,1800,Medium,10,92
6/8/2022,101,Electronics,BrandC,0.015,0.05,13,27,510,1800,Low,11,120
6/9/2022,101,Electronics,BrandC,0.015,0.05,13,27,390,1800,Low,12,99
6/10/2022,101,Electronics,BrandC,0.015,0.05,13,27,291,1800,Low,13,118
6/11/2022,101,Electronics,BrandC,0.015,0.05,13,27,173,1800,Low,14,101
6/12/2022,101,Electronics,BrandC,0.015,0.05,13,29,1473,1800,High,1,102
6/13/2022,101,Electronics,BrandC,0.015,0.05,13,29,1371,1800,High,2,110
6/14/2022,101,Electronics,BrandC,0.015,0.05,13,29,1261,1800,High,3,107
6/15/2022,101,Electronics,BrandC,0.015,0.05,13,29,1154,1800,Medium,4,116
6/16/2022,101,Electronics,BrandC,0.015,0.05,13,29,1038,1800,Medium,5,109
6/17/2022,101,Electronics,BrandC,0.015,0.05,13,29,929,1800,Medium,6,114
6/18/2022,101,Electronics,BrandC,0.015,0.05,13,29,815,1800,Medium,7,102
6/19/2022,101,Electronics,BrandC,0.015,0.05,13,29,713,1800,Medium,8,108
6/20/2022,101,Electronics,BrandC,0.015,0.05,13,29,605,1800,Medium,9,105
6/21/2022,101,Electronics,BrandC,0.015,0.05,13,29,500,1800,Low,10,112
6/22/2022,101,Electronics,BrandC,0.015,0.05,13,29,388,1800,Low,11,109
6/23/2022,101,Electronics,BrandC,0.015,0.05,13,29,279,1800,Low,12,111
6/24/2022,101,Electronics,BrandC,0.015,0.05,13,29,168,1800,Low,13,120
6/25/2022,101,Electronics,BrandC,0.015,0.05,16,26,1468,1800,High,1,82
6/26/2022,101,Electronics,BrandC,0.015,0.05,16,26,1386,1800,High,2,119
6/27/2022,101,Electronics,BrandC,0.015,0.05,16,26,1267,1800,High,3,81
6/28/2022,101,Electronics,BrandC,0.015,0.05,16,26,1186,1800,Medium,4,112
6/29/2022,101,Electronics,BrandC,0.015,0.05,16,26,1074,1800,Medium,5,98
6/30/2022,101,Electronics,BrandC,0.015,0.05,16,26,976,1800,Medium,6,103
7/1/2022,101,Electronics,BrandC,0.015,0.05,16,26,873,1800,Medium,7,99
7/2/2022,101,Electronics,BrandC,0.015,0.05,16,26,774,1800,Medium,8,120
7/3/2022,101,Electronics,BrandC,0.015,0.05,16,26,654,1800,Medium,9,112
7/4/2022,101,Electronics,BrandC,0.015,0.05,16,26,542,1800,Medium,10,93
7/5/2022,101,Electronics,BrandC,0.015,0.05,16,26,449,1800,Low,11,110
7/6/2022,101,Electronics,BrandC,0.015,0.05,16,26,339,1800,Low,12,95
7/7/2022,101,Electronics,BrandC,0.015,0.05,16,26,244,1800,Low,13,103
7/8/2022,101,Electronics,BrandC,0.015,0.05,16,26,1544,1800,High,1,119
7/9/2022,101,Electronics,BrandC,0.015,0.05,16,26,1425,1800,High,2,101
7/10/2022,101,Electronics,BrandC,0.015,0.05,16,26,1324,1800,High,3,82
7/11/2022,101,Electronics,BrandC,0.015,0.05,16,26,1242,1800,Medium,4,82
7/12/2022,101,Electronics,BrandC,0.015,0.05,16,26,1160,1800,Medium,5,104
7/13/2022,101,Electronics,BrandC,0.015,0.05,16,26,1056,1800,Medium,6,102
7/14/2022,101,Electronics,BrandC,0.015,0.05,16,26,954,1800,Medium,7,101
7/15/2022,101,Electronics,BrandC,0.015,0.05,16,26,853,1800,Medium,8,106
7/16/2022,101,Electronics,BrandC,0.015,0.05,16,26,747,1800,Medium,9,93
7/17/2022,101,Electronics,BrandC,0.015,0.05,16,26,654,1800,Medium,10,112
7/18/2022,101,Electronics,BrandC,0.015,0.05,16,26,542,1800,Medium,11,88
7/19/2022,101,Electronics,BrandC,0.015,0.05,16,26,454,1800,Low,12,96
7/20/2022,101,Electronics,BrandC,0.015,0.05,16,26,358,1800,Low,13,119
7/21/2022,101,Electronics,BrandC,0.015,0.05,16,26,239,1800,Low,14,104
7/22/2022,101,Electronics,BrandC,0.015,0.05,16,26,1539,1800,High,1,113
7/23/2022,101,Electronics,BrandC,0.015,0.05,16,26,1426,1800,High,2,111
7/24/2022,101,Electronics,BrandC,0.015,0.05,16,26,1315,1800,High,3,107
7/25/2022,101,Electronics,BrandC,0.015,0.05,16,26,1208,1800,Medium,4,111
7/26/2022,101,Electronics,BrandC,0.015,0.05,16,26,1097,1800,Medium,5,99
7/27/2022,101,Electronics,BrandC,0.015,0.05,16,26,998,1800,Medium,6,109
7/28/2022,101,Electronics,BrandC,0.015,0.05,16,26,889,1800,Medium,7,112
7/29/2022,101,Electronics,BrandC,0.015,0.05,16,26,777,1800,Medium,8,94
7/30/2022,101,Electronics,BrandC,0.015,0.05,16,26,683,1800,Medium,9,80
7/31/2022,101,Electronics,BrandC,0.0145,0.045,16,26,603,1800,Medium,10,108
8/1/2022,101,Electronics,BrandC,0.0145,0.045,25,14,1003,1200,High,1,83
8/2/2022,101,Electronics,BrandC,0.0145,0.045,25,14,920,1200,High,2,63
8/3/2022,101,Electronics,BrandC,0.0145,0.045,25,14,857,1200,High,3,77
8/4/2022,101,Electronics,BrandC,0.0145,0.045,25,14,780,1200,Medium,4,43
8/5/2022,101,Electronics,BrandC,0.0145,0.045,25,14,737,1200,Medium,5,48
8/6/2022,101,Electronics,BrandC,0.0145,0.045,25,14,689,1200,Medium,6,50
8/7/2022,101,Electronics,BrandC,0.0145,0.045,25,14,639,1200,Medium,7,45
8/8/2022,101,Electronics,BrandC,0.0145,0.045,25,14,594,1200,Medium,8,47
8/9/2022,101,Electronics,BrandC,0.0145,0.045,25,14,547,1200,Medium,9,44
8/10/2022,101,Electronics,BrandC,0.0145,0.045,25,14,503,1200,Medium,10,43
8/11/2022,101,Electronics,BrandC,0.0145,0.045,25,14,460,1200,Medium,11,40
8/12/2022,101,Electronics,BrandC,0.0145,0.045,25,14,420,1200,Medium,12,43
8/13/2022,101,Electronics,BrandC,0.0145,0.045,25,14,377,1200,Medium,13,48
8/14/2022,101,Electronics,BrandC,0.0145,0.045,25,14,329,1200,Low,14,41
8/15/2022,101,Electronics,BrandC,0.0145,0.045,25,14,288,1200,Low,15,50
8/16/2022,101,Electronics,BrandC,0.0145,0.045,25,14,238,1200,Low,16,43
8/17/2022,101,Electronics,BrandC,0.0145,0.045,25,14,195,1200,Low,17,42
8/18/2022,101,Electronics,BrandC,0.0145,0.045,25,14,153,1200,Low,18,49
8/19/2022,101,Electronics,BrandC,0.0145,0.045,25,14,104,1200,Low,19,42
8/20/2022,101,Electronics,BrandC,0.0145,0.045,25,14,62,1200,Low,20,48
8/21/2022,101,Electronics,BrandC,0.0145,0.045,25,14,14,1200,Low,21,44
8/22/2022,101,Electronics,BrandC,0.0145,0.045,30,12,814,1200,Medium,1,45
8/23/2022,101,Electronics,BrandC,0.0145,0.045,30,12,769,1200,Medium,2,43
8/24/2022,101,Electronics,BrandC,0.0145,0.045,30,12,726,1200,Medium,3,44
8/25/2022,101,Electronics,BrandC,0.0145,0.045,30,12,682,1200,Medium,4,45
8/26/2022,101,Electronics,BrandC,0.0145,0.045,30,12,637,1200,Medium,5,50
8/27/2022,101,Electronics,BrandC,0.0145,0.045,30,12,587,1200,Medium,6,48
8/28/2022,101,Electronics,BrandC,0.0145,0.045,30,12,539,1200,Medium,7,40
8/29/2022,101,Electronics,BrandC,0.0145,0.045,30,12,499,1200,Medium,8,45
8/30/2022,101,Electronics,BrandC,0.0145,0.045,30,12,454,1200,Medium,9,34
8/31/2022,101,Electronics,BrandC,0.0145,0.045,30,12,420,1200,Medium,10,45
9/1/2022,101,Electronics,BrandC,0.0145,0.045,30,12,375,1200,Medium,11,31
9/2/2022,101,Electronics,BrandC,0.0145,0.045,30,12,344,1200,Low,12,39
9/3/2022,101,Electronics,BrandC,0.0145,0.045,30,12,1144,1200,High,1,48
9/4/2022,101,Electronics,BrandC,0.0145,0.045,30,12,1096,1200,High,2,47
9/5/2022,101,Electronics,BrandC,0.0145,0.045,30,12,1049,1200,High,3,39
9/6/2022,101,Electronics,BrandC,0.0145,0.045,30,12,1010,1200,High,4,35
9/7/2022,101,Electronics,BrandC,0.0145,0.045,30,12,975,1200,High,5,43
9/8/2022,101,Electronics,BrandC,0.0145,0.045,30,12,932,1200,High,6,30
9/9/2022,101,Electronics,BrandC,0.0145,0.045,30,12,902,1200,High,7,48
9/10/2022,101,Electronics,BrandC,0.0145,0.045,30,12,854,1200,High,8,50
9/11/2022,101,Electronics,BrandC,0.0145,0.045,30,12,804,1200,Medium,9,30
9/12/2022,101,Electronics,BrandC,0.0145,0.045,30,12,774,1200,Medium,10,33
9/13/2022,101,Electronics,BrandC,0.0145,0.045,30,12,741,1200,Medium,11,31
9/14/2022,101,Electronics,BrandC,0.0145,0.045,30,12,710,1200,Medium,12,34
9/15/2022,101,Electronics,BrandC,0.0145,0.045,30,12,676,1200,Medium,13,31
9/16/2022,101,Electronics,BrandC,0.0145,0.045,30,12,645,1200,Medium,14,40
9/17/2022,101,Electronics,BrandC,0.0145,0.045,30,12,605,1200,Medium,15,40
9/18/2022,101,Electronics,BrandC,0.0145,0.045,30,12,565,1200,Medium,16,36
9/19/2022,101,Electronics,BrandC,0.0145,0.045,30,12,529,1200,Medium,17,32
9/20/2022,101,Electronics,BrandC,0.0145,0.045,30,12,497,1200,Medium,18,34
9/21/2022,101,Electronics,BrandC,0.0145,0.045,30,12,463,1200,Medium,19,38
9/22/2022,101,Electronics,BrandC,0.0145,0.045,30,12,425,1200,Medium,20,38
9/23/2022,101,Electronics,BrandC,0.0145,0.045,30,12,387,1200,Medium,21,39
9/24/2022,101,Electronics,BrandC,0.0145,0.045,30,12,787,1200,Medium,1,35
9/25/2022,101,Electronics,BrandC,0.0145,0.045,30,12,752,1200,Medium,2,33
9/26/2022,101,Electronics,BrandC,0.0145,0.045,30,12,719,1200,Medium,3,37
9/27/2022,101,Electronics,BrandC,0.0145,0.045,30,12,682,1200,Medium,4,32
9/28/2022,101,Electronics,BrandC,0.0145,0.045,30,12,650,1200,Medium,5,30
9/29/2022,101,Electronics,BrandC,0.0145,0.045,30,12,620,1200,Medium,6,39
9/30/2022,101,Electronics,BrandC,0.0145,0.045,30,12,581,1200,Medium,7,35
10/1/2022,101,Electronics,BrandC,0.0145,0.045,30,12,546,1200,Medium,8,31
10/2/2022,101,Electronics,BrandC,0.0145,0.045,30,12,515,1200,Medium,9,31
10/3/2022,101,Electronics,BrandC,0.0145,0.045,30,12,484,1200,Medium,10,38
10/4/2022,101,Electronics,BrandC,0.0145,0.045,30,12,446,1200,Medium,11,31
10/5/2022,101,Electronics,BrandC,0.0145,0.045,30,12,415,1200,Medium,12,30
10/6/2022,101,Electronics,BrandC,0.0145,0.045,30,12,385,1200,Medium,13,33
10/7/2022,101,Electronics,BrandC,0.0145,0.045,30,12,352,1200,Low,14,34
10/8/2022,101,Electronics,BrandC,0.0145,0.045,30,12,318,1200,Low,15,31
10/9/2022,101,Electronics,BrandC,0.0145,0.045,30,12,287,1200,Low,16,34
10/10/2022,101,Electronics,BrandC,0.0145,0.045,30,12,253,1200,Low,17,37
10/11/2022,101,Electronics,BrandC,0.0145,0.045,30,12,216,1200,Low,18,36
10/12/2022,101,Electronics,BrandC,0.0145,0.045,30,12,180,1200,Low,19,33
10/13/2022,101,Electronics,BrandC,0.0145,0.045,30,12,147,1200,Low,20,37
10/14/2022,101,Electronics,BrandC,0.0145,0.045,30,12,110,1200,Low,21,33
10/15/2022,101,Electronics,BrandC,0.0145,0.045,30,12,77,1200,Low,22,35
10/16/2022,101,Electronics,BrandC,0.0145,0.045,30,12,42,1200,Low,23,38
10/17/2022,101,Electronics,BrandC,0.0145,0.045,30,12,4,1200,Low,24,37
10/18/2022,101,Electronics,BrandC,0.0145,0.045,30,12,-33,1200,Low,25,30
10/19/2022,101,Electronics,BrandC,0.0145,0.045,30,12,767,1200,Medium,1,34
10/20/2022,101,Electronics,BrandC,0.0145,0.045,30,12,733,1200,Medium,2,38
10/21/2022,101,Electronics,BrandC,0.0145,0.045,30,12,695,1200,Medium,3,35
10/22/2022,101,Electronics,BrandC,0.0145,0.045,30,12,660,1200,Medium,4,37
10/23/2022,101,Electronics,BrandC,0.0145,0.045,30,12,623,1200,Medium,5,35
10/24/2022,101,Electronics,BrandC,0.0145,0.045,30,12,588,1200,Medium,6,40
10/25/2022,101,Electronics,BrandC,0.0145,0.045,30,12,548,1200,Medium,7,35
10/26/2022,101,Electronics,BrandC,0.0145,0.045,30,12,513,1200,Medium,8,33
10/27/2022,101,Electronics,BrandC,0.0145,0.045,30,12,480,1200,Medium,9,30
10/28/2022,101,Electronics,BrandC,0.0145,0.045,30,12,450,1200,Medium,10,30
10/29/2022,101,Electronics,BrandC,0.0145,0.045,30,12,420,1200,Medium,11,33
10/30/2022,101,Electronics,BrandC,0.0145,0.045,30,12,387,1200,Medium,12,31
10/31/2022,101,Electronics,BrandC,0.0145,0.045,35,7,356,1200,Low,13,14
11/1/2022,101,Electronics,BrandC,0.0145,0.045,35,7,342,1200,Low,14,25
11/2/2022,101,Electronics,BrandC,0.0145,0.045,35,7,317,1200,Low,15,19
11/3/2022,101,Electronics,BrandC,0.0145,0.045,35,7,298,1200,Low,16,27
11/4/2022,101,Electronics,BrandC,0.0145,0.045,35,7,271,1200,Low,17,29
11/5/2022,101,Electronics,BrandC,0.0145,0.045,35,7,242,1200,Low,18,15
11/6/2022,101,Electronics,BrandC,0.0145,0.045,35,7,227,1200,Low,19,21
11/7/2022,101,Electronics,BrandC,0.0145,0.045,35,7,206,1200,Low,20,19
11/8/2022,101,Electronics,BrandC,0.0145,0.045,35,7,187,1200,Low,21,22
